PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,f_evsg,PAH G7.8,PAH G7.6
1.87E-06,1.28E-06,3.75E-06,7.04E-08,4.12E-07,0.6000304735,1.64E-06,2.60E-06
2.12E-06,1.40E-06,4.19E-06,7.49E-08,4.69E-07,0.5505197801,1.66E-06,2.84E-06
2.46E-06,1.60E-06,4.43E-06,9.04E-08,5.82E-07,0.4501274389,1.64E-06,3.10E-06
2.60E-06,1.69E-06,4.57E-06,1.11E-07,6.50E-07,0.3758823184,1.58E-06,3.29E-06
2.52E-06,1.63E-06,4.65E-06,1.17E-07,6.51E-07,0.3688538299,1.52E-06,3.35E-06
2.34E-06,1.47E-06,4.62E-06,1.13E-07,6.40E-07,0.4001115494,1.48E-06,3.31E-06
2.33E-06,1.38E-06,4.49E-06,1.12E-07,6.28E-07,0.4145287734,1.43E-06,3.17E-06
2.48E-06,1.28E-06,4.39E-06,1.06E-07,6.35E-07,0.3826731878,1.38E-06,3.07E-06
2.52E-06,1.22E-06,4.40E-06,1.11E-07,7.02E-07,0.308436046,1.33E-06,3.17E-06
2.45E-06,1.15E-06,4.57E-06,1.12E-07,7.80E-07,0.2347043763,1.29E-06,3.39E-06
2.52E-06,1.09E-06,4.44E-06,1.14E-07,8.00E-07,0.1715951009,1.21E-06,3.37E-06
2.59E-06,1.06E-06,4.42E-06,1.30E-07,7.79E-07,0.1304249697,1.14E-06,3.42E-06
2.61E-06,1.05E-06,4.54E-06,1.40E-07,7.41E-07,0.1173667662,1.11E-06,3.58E-06
2.67E-06,1.03E-06,4.63E-06,1.37E-07,7.30E-07,0.1260820636,1.08E-06,3.69E-06
2.64E-06,1.02E-06,4.57E-06,1.40E-07,7.67E-07,0.1385346371,1.04E-06,3.63E-06
2.62E-06,1.00E-06,4.62E-06,1.41E-07,7.70E-07,0.1234521718,9.93E-07,3.60E-06
2.57E-06,9.74E-07,4.61E-06,1.41E-07,7.50E-07,0.1004873139,9.66E-07,3.61E-06
2.39E-06,9.38E-07,4.56E-06,1.46E-07,7.22E-07,0.08900326889,9.45E-07,3.54E-06
2.30E-06,8.80E-07,4.25E-06,1.48E-07,6.71E-07,0.09148696541,8.81E-07,3.32E-06
2.21E-06,8.08E-07,3.90E-06,1.31E-07,6.23E-07,0.09977979841,7.98E-07,3.06E-06
1.95E-06,7.61E-07,3.56E-06,1.14E-07,6.16E-07,0.1043005977,7.59E-07,2.86E-06
1.75E-06,7.22E-07,3.57E-06,1.09E-07,6.20E-07,0.1255802729,7.88E-07,2.86E-06
1.73E-06,7.01E-07,3.59E-06,1.08E-07,5.84E-07,0.1338115009,7.75E-07,2.83E-06
1.71E-06,6.82E-07,3.43E-06,1.06E-07,5.28E-07,0.1393495243,7.42E-07,2.74E-06
1.68E-06,6.70E-07,3.23E-06,1.05E-07,5.19E-07,0.1810759678,7.59E-07,2.59E-06
1.68E-06,6.72E-07,3.16E-06,1.04E-07,5.26E-07,0.2102872699,7.88E-07,2.50E-06
1.67E-06,7.00E-07,3.28E-06,1.06E-07,5.20E-07,0.2107309257,8.03E-07,2.57E-06
1.73E-06,7.09E-07,3.43E-06,1.11E-07,5.42E-07,0.1789570474,7.97E-07,2.67E-06
1.80E-06,7.09E-07,3.46E-06,1.10E-07,5.88E-07,0.1573616673,7.85E-07,2.71E-06
2.32E-06,7.26E-07,3.40E-06,1.09E-07,6.55E-07,0.1752862143,7.35E-07,2.66E-06
1.90E-06,1.37E-06,4.06E-06,7.62E-08,4.30E-07,0.5926890689,1.66E-06,2.72E-06
2.13E-06,1.47E-06,4.20E-06,8.00E-08,4.70E-07,0.5496450767,1.65E-06,2.85E-06
2.28E-06,1.62E-06,4.34E-06,9.04E-08,5.55E-07,0.4656455426,1.60E-06,3.02E-06
2.39E-06,1.61E-06,4.29E-06,1.01E-07,6.08E-07,0.3990154851,1.52E-06,3.07E-06
2.38E-06,1.52E-06,4.39E-06,1.04E-07,6.16E-07,0.3815018408,1.47E-06,3.16E-06
2.30E-06,1.40E-06,4.40E-06,1.08E-07,6.27E-07,0.3963742009,1.44E-06,3.17E-06
2.35E-06,1.33E-06,4.40E-06,1.09E-07,6.34E-07,0.4059519953,1.42E-06,3.15E-06
2.54E-06,1.29E-06,4.45E-06,9.99E-08,6.49E-07,0.3784662537,1.40E-06,3.16E-06
2.60E-06,1.28E-06,4.58E-06,1.04E-07,7.02E-07,0.3219458622,1.38E-06,3.31E-06
2.53E-06,1.23E-06,4.70E-06,1.11E-07,7.51E-07,0.2667993684,1.33E-06,3.46E-06
2.59E-06,1.15E-06,4.63E-06,1.16E-07,7.66E-07,0.1902693586,1.21E-06,3.43E-06
2.62E-06,1.11E-06,4.50E-06,1.30E-07,7.75E-07,0.1268735594,1.12E-06,3.43E-06
2.62E-06,1.09E-06,4.71E-06,1.39E-07,7.69E-07,0.1159909617,1.11E-06,3.61E-06
2.69E-06,1.07E-06,4.70E-06,1.43E-07,7.61E-07,0.1293081571,1.08E-06,3.67E-06
2.71E-06,1.06E-06,4.56E-06,1.53E-07,7.87E-07,0.1432032084,1.03E-06,3.57E-06
2.65E-06,1.05E-06,4.69E-06,1.53E-07,7.78E-07,0.1382369294,1.02E-06,3.66E-06
2.56E-06,1.02E-06,4.76E-06,1.44E-07,7.46E-07,0.1217859922,1.01E-06,3.72E-06
2.52E-06,9.74E-07,4.67E-06,1.47E-07,7.18E-07,0.1039225263,9.87E-07,3.62E-06
2.36E-06,9.07E-07,4.41E-06,1.50E-07,7.00E-07,0.09829974265,9.13E-07,3.42E-06
2.29E-06,8.33E-07,4.14E-06,1.33E-07,6.56E-07,0.09370820622,8.32E-07,3.23E-06
2.15E-06,7.72E-07,3.71E-06,1.14E-07,6.38E-07,0.100566489,7.69E-07,2.97E-06
1.93E-06,7.26E-07,3.59E-06,1.09E-07,6.09E-07,0.1297917527,7.74E-07,2.89E-06
1.76E-06,6.93E-07,3.59E-06,1.08E-07,5.90E-07,0.1535648944,7.72E-07,2.83E-06
1.72E-06,6.69E-07,3.41E-06,1.03E-07,5.65E-07,0.1700818421,7.52E-07,2.70E-06
1.70E-06,6.67E-07,3.24E-06,1.00E-07,5.62E-07,0.1901107388,7.77E-07,2.60E-06
1.74E-06,6.78E-07,3.20E-06,1.02E-07,5.66E-07,0.1996206726,7.99E-07,2.55E-06
1.72E-06,7.18E-07,3.35E-06,1.07E-07,5.75E-07,0.2037650319,8.10E-07,2.65E-06
1.85E-06,7.53E-07,3.56E-06,1.12E-07,5.94E-07,0.1884506459,8.18E-07,2.79E-06
1.93E-06,7.58E-07,3.76E-06,1.06E-07,6.36E-07,0.1705321725,8.53E-07,2.97E-06
2.42E-06,7.81E-07,3.85E-06,1.05E-07,6.91E-07,0.1923350683,8.44E-07,3.05E-06
1.88E-06,1.37E-06,4.03E-06,6.42E-08,4.30E-07,0.5941227371,1.65E-06,2.70E-06
2.10E-06,1.45E-06,4.08E-06,6.73E-08,4.63E-07,0.5554412397,1.60E-06,2.75E-06
2.17E-06,1.53E-06,4.05E-06,7.80E-08,5.32E-07,0.4771499481,1.51E-06,2.84E-06
2.18E-06,1.47E-06,4.12E-06,9.01E-08,5.62E-07,0.4151660388,1.45E-06,2.97E-06
2.20E-06,1.39E-06,4.24E-06,9.71E-08,5.71E-07,0.389774135,1.44E-06,3.09E-06
2.24E-06,1.32E-06,4.37E-06,1.02E-07,6.09E-07,0.3913832618,1.46E-06,3.18E-06
2.35E-06,1.30E-06,4.53E-06,1.07E-07,6.43E-07,0.4028531904,1.49E-06,3.27E-06
2.53E-06,1.32E-06,4.74E-06,1.06E-07,6.67E-07,0.3896438497,1.51E-06,3.39E-06
2.77E-06,1.36E-06,4.77E-06,1.16E-07,7.12E-07,0.340325587,1.49E-06,3.49E-06
2.70E-06,1.35E-06,4.93E-06,1.19E-07,7.61E-07,0.2936598786,1.44E-06,3.63E-06
2.66E-06,1.28E-06,4.88E-06,1.28E-07,7.73E-07,0.221202751,1.30E-06,3.61E-06
2.67E-06,1.19E-06,4.76E-06,1.39E-07,7.82E-07,0.1753128835,1.20E-06,3.56E-06
2.73E-06,1.16E-06,4.76E-06,1.47E-07,7.92E-07,0.1733006905,1.17E-06,3.63E-06
2.71E-06,1.13E-06,4.67E-06,1.52E-07,7.85E-07,0.1724271417,1.15E-06,3.65E-06
2.66E-06,1.11E-06,4.52E-06,1.60E-07,8.02E-07,0.1704618943,1.09E-06,3.59E-06
2.60E-06,1.10E-06,4.71E-06,1.53E-07,8.06E-07,0.157255268,1.08E-06,3.73E-06
2.69E-06,1.08E-06,4.90E-06,1.46E-07,7.96E-07,0.1401715978,1.08E-06,3.81E-06
2.62E-06,1.02E-06,4.93E-06,1.46E-07,7.71E-07,0.1306362878,1.05E-06,3.75E-06
2.43E-06,9.66E-07,4.52E-06,1.52E-07,7.13E-07,0.1242873885,9.50E-07,3.50E-06
2.37E-06,8.87E-07,4.34E-06,1.42E-07,6.83E-07,0.1072031319,8.79E-07,3.36E-06
2.24E-06,8.11E-07,4.02E-06,1.27E-07,6.81E-07,0.1060234333,8.28E-07,3.15E-06
2.08E-06,7.52E-07,3.78E-06,1.19E-07,6.60E-07,0.1293593746,8.05E-07,3.01E-06
1.93E-06,7.18E-07,3.76E-06,1.17E-07,6.27E-07,0.1509482344,7.79E-07,2.95E-06
1.78E-06,6.95E-07,3.52E-06,1.11E-07,6.03E-07,0.1682414696,7.52E-07,2.75E-06
1.78E-06,6.89E-07,3.41E-06,1.06E-07,5.96E-07,0.1831877877,7.81E-07,2.63E-06
1.78E-06,6.87E-07,3.26E-06,1.05E-07,5.96E-07,0.1940003829,7.95E-07,2.59E-06
1.84E-06,7.34E-07,3.40E-06,1.11E-07,6.10E-07,0.2022367128,7.92E-07,2.67E-06
1.96E-06,7.80E-07,3.61E-06,1.16E-07,6.29E-07,0.1912762646,8.13E-07,2.81E-06
2.05E-06,8.05E-07,3.87E-06,1.10E-07,6.72E-07,0.1647547366,8.86E-07,3.06E-06
2.47E-06,8.43E-07,4.19E-06,1.10E-07,7.16E-07,0.1822602298,9.30E-07,3.30E-06
1.80E-06,1.37E-06,3.80E-06,6.10E-08,4.14E-07,0.5861594815,1.58E-06,2.55E-06
2.05E-06,1.43E-06,3.82E-06,6.44E-08,4.35E-07,0.5453743829,1.51E-06,2.60E-06
2.02E-06,1.42E-06,3.88E-06,7.19E-08,4.84E-07,0.4664784149,1.42E-06,2.73E-06
2.02E-06,1.36E-06,3.88E-06,8.86E-08,5.14E-07,0.4105786205,1.36E-06,2.79E-06
2.13E-06,1.31E-06,4.08E-06,9.80E-08,5.35E-07,0.3971777408,1.38E-06,2.94E-06
2.25E-06,1.28E-06,4.39E-06,1.01E-07,5.79E-07,0.4096981507,1.47E-06,3.15E-06
2.44E-06,1.30E-06,4.63E-06,1.06E-07,6.14E-07,0.420629779,1.54E-06,3.30E-06
2.64E-06,1.36E-06,4.91E-06,1.15E-07,6.46E-07,0.4012615157,1.57E-06,3.51E-06
2.93E-06,1.45E-06,5.07E-06,1.30E-07,7.17E-07,0.347864122,1.56E-06,3.68E-06
2.88E-06,1.47E-06,5.24E-06,1.29E-07,8.00E-07,0.3006698318,1.55E-06,3.86E-06
2.84E-06,1.40E-06,5.15E-06,1.38E-07,8.40E-07,0.2391219907,1.44E-06,3.81E-06
2.74E-06,1.29E-06,5.22E-06,1.43E-07,8.49E-07,0.2033469664,1.38E-06,3.92E-06
2.76E-06,1.23E-06,5.20E-06,1.49E-07,8.45E-07,0.1996685075,1.35E-06,3.95E-06
2.79E-06,1.20E-06,4.97E-06,1.53E-07,8.13E-07,0.2020408912,1.28E-06,3.87E-06
2.81E-06,1.16E-06,4.67E-06,1.54E-07,7.93E-07,0.1963646533,1.17E-06,3.68E-06
2.73E-06,1.14E-06,4.91E-06,1.50E-07,8.17E-07,0.1649074461,1.15E-06,3.81E-06
2.69E-06,1.15E-06,5.06E-06,1.52E-07,8.12E-07,0.1382730566,1.16E-06,3.94E-06
2.64E-06,1.09E-06,5.00E-06,1.53E-07,8.09E-07,0.1288382416,1.12E-06,3.83E-06
2.51E-06,1.02E-06,4.69E-06,1.53E-07,7.59E-07,0.1237405405,1.01E-06,3.60E-06
2.43E-06,9.19E-07,4.49E-06,1.41E-07,7.18E-07,0.1039623208,9.08E-07,3.45E-06
2.33E-06,8.39E-07,3.99E-06,1.30E-07,7.05E-07,0.09868493279,8.35E-07,3.21E-06
2.12E-06,7.97E-07,3.95E-06,1.28E-07,6.95E-07,0.1270996421,8.34E-07,3.15E-06
2.01E-06,7.57E-07,3.98E-06,1.28E-07,6.54E-07,0.1567964418,8.13E-07,3.12E-06
1.91E-06,7.34E-07,3.77E-06,1.26E-07,6.09E-07,0.1748650182,7.77E-07,2.93E-06
1.81E-06,7.20E-07,3.58E-06,1.21E-07,5.93E-07,0.1912424608,7.98E-07,2.76E-06
1.81E-06,7.09E-07,3.32E-06,1.13E-07,5.91E-07,0.1984734693,8.05E-07,2.65E-06
1.84E-06,7.41E-07,3.53E-06,1.15E-07,6.00E-07,0.1979354771,8.09E-07,2.74E-06
1.95E-06,7.97E-07,3.74E-06,1.22E-07,6.17E-07,0.1908592532,8.41E-07,2.88E-06
2.14E-06,8.33E-07,3.92E-06,1.17E-07,6.62E-07,0.1747234099,9.08E-07,3.08E-06
2.64E-06,8.72E-07,4.28E-06,1.13E-07,7.10E-07,0.1963297626,9.57E-07,3.30E-06
1.69E-06,1.35E-06,3.76E-06,6.35E-08,4.25E-07,0.5762987188,1.54E-06,2.53E-06
1.88E-06,1.41E-06,3.64E-06,6.78E-08,4.28E-07,0.5417119457,1.48E-06,2.53E-06
1.87E-06,1.38E-06,3.62E-06,7.26E-08,4.55E-07,0.4695785479,1.36E-06,2.58E-06
1.89E-06,1.30E-06,3.59E-06,8.86E-08,4.82E-07,0.4213281767,1.28E-06,2.59E-06
2.02E-06,1.26E-06,4.03E-06,1.01E-07,5.04E-07,0.4216728801,1.35E-06,2.89E-06
2.24E-06,1.27E-06,4.52E-06,1.03E-07,5.57E-07,0.4481942665,1.50E-06,3.22E-06
2.49E-06,1.31E-06,4.80E-06,1.05E-07,5.94E-07,0.4585699211,1.62E-06,3.41E-06
2.67E-06,1.37E-06,5.11E-06,1.11E-07,6.47E-07,0.4233854024,1.66E-06,3.61E-06
2.93E-06,1.47E-06,5.25E-06,1.23E-07,7.32E-07,0.3570306254,1.63E-06,3.79E-06
3.00E-06,1.52E-06,5.43E-06,1.30E-07,8.04E-07,0.2990226799,1.59E-06,3.99E-06
3.02E-06,1.47E-06,5.58E-06,1.36E-07,8.48E-07,0.2412790717,1.54E-06,4.09E-06
2.90E-06,1.38E-06,5.55E-06,1.42E-07,8.82E-07,0.1993883638,1.49E-06,4.13E-06
2.93E-06,1.32E-06,5.59E-06,1.53E-07,8.82E-07,0.1938159054,1.47E-06,4.21E-06
2.87E-06,1.26E-06,5.34E-06,1.51E-07,8.39E-07,0.2083707987,1.40E-06,4.14E-06
2.90E-06,1.21E-06,5.07E-06,1.55E-07,8.30E-07,0.2007062555,1.28E-06,3.92E-06
2.85E-06,1.18E-06,5.14E-06,1.53E-07,8.82E-07,0.1559862974,1.22E-06,3.95E-06
2.85E-06,1.18E-06,5.31E-06,1.56E-07,8.79E-07,0.1226986819,1.20E-06,4.03E-06
2.82E-06,1.15E-06,4.93E-06,1.58E-07,8.27E-07,0.1093650229,1.12E-06,3.83E-06
2.64E-06,1.06E-06,4.76E-06,1.51E-07,7.86E-07,0.1008498802,1.02E-06,3.66E-06
2.54E-06,9.58E-07,4.65E-06,1.38E-07,7.56E-07,0.08073329293,9.28E-07,3.55E-06
2.42E-06,8.87E-07,4.30E-06,1.33E-07,7.44E-07,0.07551901082,8.69E-07,3.43E-06
2.22E-06,8.31E-07,4.15E-06,1.28E-07,7.42E-07,0.1167587117,8.42E-07,3.29E-06
2.13E-06,7.82E-07,4.11E-06,1.23E-07,6.87E-07,0.1607606409,8.19E-07,3.22E-06
2.04E-06,7.70E-07,3.84E-06,1.25E-07,6.19E-07,0.1832387611,7.94E-07,3.02E-06
1.94E-06,7.68E-07,3.56E-06,1.22E-07,6.03E-07,0.2005101471,8.22E-07,2.82E-06
1.89E-06,7.62E-07,3.52E-06,1.16E-07,5.90E-07,0.2065514201,8.48E-07,2.77E-06
1.91E-06,7.89E-07,3.67E-06,1.19E-07,5.94E-07,0.2101003323,8.52E-07,2.87E-06
2.01E-06,8.41E-07,3.89E-06,1.29E-07,6.22E-07,0.2049951173,8.85E-07,3.00E-06
2.19E-06,8.76E-07,4.08E-06,1.27E-07,6.78E-07,0.1986226841,9.55E-07,3.20E-06
2.71E-06,9.15E-07,4.32E-06,1.20E-07,7.26E-07,0.2248536502,9.78E-07,3.33E-06
1.64E-06,1.37E-06,3.62E-06,6.84E-08,4.14E-07,0.5794015844,1.50E-06,2.53E-06
1.76E-06,1.40E-06,3.56E-06,7.05E-08,4.13E-07,0.5500288883,1.44E-06,2.50E-06
1.88E-06,1.38E-06,3.49E-06,7.28E-08,4.41E-07,0.4847489586,1.34E-06,2.52E-06
1.84E-06,1.27E-06,3.56E-06,8.41E-08,4.72E-07,0.4431248671,1.29E-06,2.60E-06
1.96E-06,1.24E-06,4.09E-06,9.90E-08,4.93E-07,0.449541418,1.40E-06,2.95E-06
2.26E-06,1.29E-06,4.72E-06,1.05E-07,5.50E-07,0.4756827371,1.59E-06,3.36E-06
2.57E-06,1.37E-06,5.09E-06,1.10E-07,6.02E-07,0.4913665466,1.72E-06,3.58E-06
2.79E-06,1.41E-06,5.28E-06,1.10E-07,6.45E-07,0.4624155011,1.76E-06,3.70E-06
2.90E-06,1.44E-06,5.21E-06,1.16E-07,7.21E-07,0.3921496752,1.68E-06,3.78E-06
2.92E-06,1.48E-06,5.33E-06,1.26E-07,8.00E-07,0.3213160003,1.59E-06,3.93E-06
3.07E-06,1.47E-06,5.61E-06,1.39E-07,8.37E-07,0.2603101844,1.55E-06,4.13E-06
3.11E-06,1.42E-06,5.56E-06,1.46E-07,8.71E-07,0.2263554106,1.52E-06,4.17E-06
3.08E-06,1.36E-06,5.69E-06,1.55E-07,8.80E-07,0.2220643161,1.53E-06,4.34E-06
3.01E-06,1.33E-06,5.72E-06,1.57E-07,8.68E-07,0.2239580836,1.50E-06,4.34E-06
2.92E-06,1.28E-06,5.58E-06,1.63E-07,8.94E-07,0.2080435198,1.41E-06,4.22E-06
2.92E-06,1.24E-06,5.53E-06,1.60E-07,9.38E-07,0.1642594207,1.32E-06,4.19E-06
2.92E-06,1.22E-06,5.48E-06,1.59E-07,9.26E-07,0.1292218115,1.25E-06,4.19E-06
2.87E-06,1.20E-06,5.45E-06,1.63E-07,8.89E-07,0.1226440004,1.19E-06,4.10E-06
2.76E-06,1.11E-06,5.09E-06,1.56E-07,8.10E-07,0.1185432373,1.08E-06,3.86E-06
2.69E-06,1.02E-06,4.80E-06,1.46E-07,7.50E-07,0.09663646346,9.61E-07,3.65E-06
2.53E-06,9.36E-07,4.46E-06,1.36E-07,7.39E-07,0.08788186429,8.96E-07,3.50E-06
2.25E-06,8.82E-07,4.38E-06,1.32E-07,7.39E-07,0.1159699832,8.95E-07,3.49E-06
2.22E-06,8.29E-07,4.31E-06,1.24E-07,6.86E-07,0.1496401552,8.69E-07,3.41E-06
2.19E-06,8.18E-07,4.03E-06,1.20E-07,6.54E-07,0.1756496584,8.23E-07,3.13E-06
2.11E-06,8.30E-07,3.80E-06,1.15E-07,6.35E-07,0.208067999,8.51E-07,2.94E-06
2.08E-06,8.35E-07,3.70E-06,1.12E-07,6.18E-07,0.2270708615,8.88E-07,2.89E-06
2.12E-06,8.64E-07,3.86E-06,1.21E-07,6.12E-07,0.2336829963,8.93E-07,2.97E-06
2.20E-06,8.98E-07,4.05E-06,1.33E-07,6.35E-07,0.214979582,9.09E-07,3.09E-06
2.25E-06,9.00E-07,4.14E-06,1.29E-07,6.88E-07,0.2011152648,9.60E-07,3.24E-06
2.72E-06,9.37E-07,4.33E-06,1.24E-07,7.43E-07,0.2328668883,9.91E-07,3.35E-06
1.62E-06,1.37E-06,3.62E-06,6.12E-08,3.98E-07,0.5829109925,1.47E-06,2.57E-06
1.78E-06,1.40E-06,3.60E-06,6.46E-08,4.08E-07,0.5594081327,1.43E-06,2.55E-06
1.83E-06,1.37E-06,3.57E-06,7.11E-08,4.48E-07,0.4996823462,1.35E-06,2.56E-06
1.93E-06,1.27E-06,3.69E-06,8.14E-08,4.94E-07,0.4596038395,1.32E-06,2.64E-06
2.14E-06,1.25E-06,4.15E-06,9.73E-08,5.26E-07,0.468287807,1.44E-06,2.93E-06
2.40E-06,1.33E-06,4.83E-06,1.09E-07,5.62E-07,0.5010859561,1.67E-06,3.38E-06
2.69E-06,1.43E-06,5.26E-06,1.15E-07,5.90E-07,0.5138852071,1.83E-06,3.69E-06
2.89E-06,1.44E-06,5.32E-06,1.16E-07,6.19E-07,0.4831959331,1.82E-06,3.76E-06
2.94E-06,1.43E-06,5.24E-06,1.18E-07,6.92E-07,0.4159641945,1.70E-06,3.77E-06
2.87E-06,1.40E-06,5.27E-06,1.16E-07,7.85E-07,0.3422568385,1.57E-06,3.87E-06
3.09E-06,1.42E-06,5.44E-06,1.35E-07,8.26E-07,0.2738241393,1.48E-06,4.00E-06
3.19E-06,1.41E-06,5.37E-06,1.50E-07,8.45E-07,0.2384377098,1.45E-06,4.05E-06
3.15E-06,1.36E-06,5.66E-06,1.49E-07,8.55E-07,0.2296141396,1.51E-06,4.35E-06
3.06E-06,1.32E-06,5.65E-06,1.46E-07,8.62E-07,0.2214328243,1.51E-06,4.40E-06
2.98E-06,1.30E-06,5.54E-06,1.49E-07,9.06E-07,0.2105252256,1.46E-06,4.31E-06
3.02E-06,1.28E-06,5.62E-06,1.52E-07,9.50E-07,0.1829696676,1.39E-06,4.26E-06
2.94E-06,1.28E-06,5.73E-06,1.59E-07,9.52E-07,0.1523282158,1.35E-06,4.35E-06
